id,Importance,difficult,category1,category2,original,question,explanation,notes1,notes2,notes3,notes4,notes5
202,1,中級,会計,予算決算及び会計令,予算決算及び会計令第６１条　日本銀行は、小切手の提示があつたときは、その小切手が法令に違反することがないかを調査し、その支払をしなければならない。②　前項の規定は、日本銀行が国庫金振替書又は支払指図書の交付を受けた場合に、これを準用する。,予算決算及び会計令第６１条　日本銀行は、小切手の提示があつたときは、その小切手が法令に違反することがないかを調査し、その支払をすることができる。②　前項の規定は、日本銀行が国庫金振替書又は支払指図書の交付を受けた場合に、これを準用する。,第１項の「支払をしなければならない」を「支払をすることができる」に変更している点が誤り。正しくは「支払をしなければならない」である。,2026_08_15,m,-,-,-
222,1,中級,会計,予算決算及び会計令,予算決算及び会計令第８１条　契約担当官等は、公告に示した競争執行の場所及び日時に、入札者を立ち会わせて開札をしなければならない。この場合において、入札者が立ち会わないときは、入札事務に関係のない職員を立ち会わせなければならない。,予算決算及び会計令第８１条　契約担当官等は、公告に示した競争執行の場所及び日時に、入札者を立ち会わせて開札をしなければならない。この場合において、入札者が立ち会わないときは、入札事務に関係のある職員を立ち会わせなければならない。,「入札事務に関係のない職員」を「入札事務に関係のある職員」に変更している点が誤り。正しくは「入札事務に関係のない職員」である。,2026_08_15,m,-,-,-
242,2,中級,会計,予算決算及び会計令,予算決算及び会計令第９９条の４　前二条の場合においては、予定価格又は落札金額を分割して計算することができる場合に限り、当該価格又は金額の制限内で数人に分割して契約をすることができる。,予算決算及び会計令第９９条の４　前二条の場合においては、予定価格又は落札金額を分割して計算することができる場合に限り、当該価格又は金額の制限内で一人に契約をすることができる。,「数人に分割して契約」を「一人に契約」に変更している点が誤り。正しくは「数人に分割して契約」である。,2026_08_15,m,-,-,-
263,2,中級,会計,予算決算及び会計令,予算決算及び会計令第百五条 各省各庁の長の保管に係る現金若しくは有価証券又は国の所有に係る有価証券の取扱手続に関しては、法律又は政令に特別の規定がある場合の外は、財務大臣がこれを定める。,予算決算及び会計令第百五条 各省各庁の長の保管に係る現金若しくは有価証券又は国の所有に係る有価証券の取扱手続に関しては、法律又は政令に特別の規定がある場合の外は、会計検査院がこれを定める。,「財務大臣」を「会計検査院」に変更している点が誤り。正しくは「財務大臣」である。,2026_08_15,m,-,-,-
283,2,上級,会計,予算決算及び会計令,予算決算及び会計令第１２５条　出納官吏の交替、廃止その他の異動があつたときは、異動前の出納官吏が執行した出納のうち、まだ第百二十条から第百二十三条までの手続をしていない分については、異動後の出納官吏（各省各庁の長又はその委任を受けた職員が必要があると認めるときは、その指定する職員）がこれらの規定に定める手続をしなければならない。,予算決算及び会計令第１２５条　出納官吏の交替、廃止その他の異動があつたときは、異動前の出納官吏が執行した出納のうち、まだ第百二十条から第百二十二条までの手続をしていない分については、異動後の出納官吏（各省各庁の長又はその委任を受けた職員が必要があると認めるときは、その指定する職員）がこれらの規定に定める手続をしなければならない。,「第百二十条から第百二十三条まで」を「第百二十条から第百二十二条まで」に変更している点が誤り。正しくは「第百二十条から第百二十三条まで」である。,2026_08_15,m,-,-,-
303,3,中級,会計,予算決算及び会計令,予算決算及び会計令第１４２条　前条の計算証明書類を除く外、この勅令に規定する書類の様式は、財務大臣がこれを定める。,予算決算及び会計令第１４２条　前条の計算証明書類を除く外、この勅令に規定する書類の様式は、会計検査院がこれを定める。,「財務大臣」を「会計検査院」に変更している点が誤り。正しくは「財務大臣」である。,2026_08_15,m,-,-,-
323,1,中級,会計,支出官事務規程,支出官事務規程第２２条　官署支出官は、第十六条第三項の規定により送付し、又は第三十七条第二項の規定により送付された国庫金送金通知書が、受取人の受領前に亡失したと認められるときは、その旨をセンター支出官に通知しなければならない。②　官署支出官は、第十六条第三項の規定により送付した国庫金送金通知書について、センター支出官から第四十六条第一項第一号の規定による通知を受けたときは、再度国庫金送金通知書を作成し、表面余白に「再発行」の印を押し、これを受取人に送付するとともに、その旨を日本銀行に通知しなければならない。③　官署支出官は、第四十六条第二項の規定によりセンター支出官から、受取人の受領前に亡失した国庫金送金通知書により既に支払が行われた旨の通知を受けたときは、その事情を詳細に記載した書面を所管の各省各庁の長を経由して財務大臣に送付しなければならない。④　前項の場合において、官署支出官は、財務大臣から支払を行うべき旨の通知を受けたときは、当該支払のための必要な手続をとらなければならない。⑤　前二項の規定は、官署支出官が、第四十六条第三項において準用する同条第二項の規定によりセンター支出官から、受取人の亡失した国庫金送金通知書により既に支払を受けた者がある旨の通知を受けた場合及び受取人の亡失した国庫金送金通知書により既に支払を受けた者があることを知つた場合について準用する。,支出官事務規程第２２条　官署支出官は、第十六条第三項の規定により送付し、又は第三十七条第二項の規定により送付された国庫金送金通知書が、受取人の受領前に亡失したと認められるときは、その旨をセンター支出官に通知しなければならない。②　官署支出官は、第十六条第三項の規定により送付した国庫金送金通知書について、センター支出官から第四十六条第一項第一号の規定による通知を受けたときは、再度国庫金送金通知書を作成し、表面余白に「再発行」の印を押し、これを受取人に送付するとともに、その旨を財務大臣に通知しなければならない。③　官署支出官は、第四十六条第二項の規定によりセンター支出官から、受取人の受領前に亡失した国庫金送金通知書により既に支払が行われた旨の通知を受けたときは、その事情を詳細に記載した書面を所管の各省各庁の長を経由して財務大臣に送付しなければならない。④　前項の場合において、官署支出官は、財務大臣から支払を行うべき旨の通知を受けたときは、当該支払のための必要な手続をとらなければならない。⑤　前二項の規定は、官署支出官が、第四十六条第三項において準用する同条第二項の規定によりセンター支出官から、受取人の亡失した国庫金送金通知書により既に支払を受けた者がある旨の通知を受けた場合及び受取人の亡失した国庫金送金通知書により既に支払を受けた者があることを知つた場合について準用する。,第２項の「日本銀行」を「財務大臣」に変更している点が誤り。正しくは「日本銀行」である。,2026_08_15,m,-,-,-
343,2,中級,会計,出納官吏事務規程,出納官吏事務規程第９条　外国における出納官吏の事務取扱上、この省令により難いものについては、特例を設けることができる。,出納官吏事務規程第９条　外国における出納官吏の事務取扱上、この省令により難いものについては、特例を設けなければならない。,「特例を設けることができる」を「特例を設けなければならない」に変更している点が誤り。正しくは「特例を設けることができる」である。,2026_08_15,m,-,-,-
363,1,中級,会計,出納官吏事務規程,出納官吏事務規程第３２条　資金前渡官吏は、前条に規定する国庫内の移換のため支払をしようとするときは、国庫金振替書その他国庫金の払出しに関する書類の様式を定める省令（昭和四十三年大蔵省令第五十一号。以下「省令」という。）第一号書式の国庫金振替書を発し、これをその預託先日本銀行に交付し、国庫内の移換の手続をさせなければならない。②　前項の場合において資金前渡官吏は、前条第一号の場合（第四十五条の規定により所属庁の歳入に組入れるときを除く。）又は第一号の二の場合において発する国庫金振替書には、納入告知書、納税告知書又は納付書を、前条第二号において規定する第五十四条の二の場合において発する国庫金振替書には、労働保険の保険料の徴収等に関する法律に基づく労働保険料等の納付手続の特例に関する省令（昭和四十七年大蔵省令第十七号）に定める納付書を、前条第二号において規定する第五十五条第二項及び第三項本文（第五十六条において適用する場合を含む。）の場合において発する国庫金振替書には、当該相殺額に対する納入告知書又は納付書を、前条第二号において規定する第五十七条の場合において発する国庫金振替書には、国税通則法（昭和三十七年法律第六十六号）第三十四条第一項に規定する納付書及び所得税法施行規則（昭和四十年大蔵省令第十一号）第八十条に規定する計算書を、それぞれ添えなければならない。③　資金前渡官吏は、前条第二号において規定する第五十三条、第五十四条又は第五十五条第一項（第五十六条において適用する場合を含む。）の場合において国庫金振替書を発したときは、それぞれ第十一号書式から第十四号書式までに準じた健康保険料被保険者負担金額表、船員保険料被保険者負担金額表、厚生年金保険料被保険者負担金額表、国家公務員有料宿舎使用料金額表、防衛省職員食事代金額表、防衛省職員被服弁償金額表、防衛省職員被服代払込金額表、国家公務員通勤災害一部負担金額表、労働者災害補償保険通勤災害一部負担金額表又は相殺額表を作成し、これを当該歳入徴収官に送付しなければならない。④　資金前渡官吏は、前条第三号の場合において国庫金振替書を発したときは、第五号書式の国庫金振替送金通知書をその出納官吏に送付しなければならない。ただし、電信振替の場合においては、国庫金振替送金通知書に代え、電信でその旨を通知しなければならない。⑤　前項の国庫金振替送金通知書は、資金前渡官吏が、その預託先日本銀行所在地にいる出納官吏に国庫金振替書により資金を送付する場合においては、これを省略し適宜の方法をもつて通知することが出来る。,出納官吏事務規程第３２条　資金前渡官吏は、前条に規定する国庫内の移換のため支払をしようとするときは、国庫金振替書その他国庫金の払出しに関する書類の様式を定める省令（昭和四十三年大蔵省令第五十一号。以下「省令」という。）第一号書式の国庫金振替書を発し、これをその預託先日本銀行に交付し、国庫内の移換の手続をさせなければならない。②　前項の場合において資金前渡官吏は、前条第一号の場合（第四十五条の規定により所属庁の歳入に組入れるときを除く。）又は第一号の二の場合において発する国庫金振替書には、納入告知書、納税告知書又は納付書を、前条第二号において規定する第五十四条の二の場合において発する国庫金振替書には、労働保険の保険料の徴収等に関する法律に基づく労働保険料等の納付手続の特例に関する省令（昭和四十七年大蔵省令第十七号）に定める納付書を、前条第二号において規定する第五十五条第二項及び第三項本文（第五十六条において適用する場合を含む。）の場合において発する国庫金振替書には、当該相殺額に対する納入告知書又は納付書を、前条第二号において規定する第五十七条の場合において発する国庫金振替書には、国税通則法（昭和三十七年法律第六十六号）第三十四条第一項に規定する納付書及び所得税法施行規則（昭和四十年大蔵省令第十一号）第八十条に規定する計算書を、それぞれ添えなければならない。③　資金前渡官吏は、前条第二号において規定する第五十三条、第五十四条又は第五十五条第一項（第五十六条において適用する場合を含む。）の場合において国庫金振替書を発したときは、それぞれ第十一号書式から第十四号書式までに準じた健康保険料被保険者負担金額表、船員保険料被保険者負担金額表、厚生年金保険料被保険者負担金額表、国家公務員有料宿舎使用料金額表、防衛省職員食事代金額表、防衛省職員被服弁償金額表、防衛省職員被服代払込金額表、国家公務員通勤災害一部負担金額表、労働者災害補償保険通勤災害一部負担金額表又は相殺額表を作成し、これを当該歳入徴収官に送付しなければならない。④　資金前渡官吏は、前条第三号の場合において国庫金振替書を発したときは、第四号書式の国庫金振替送金通知書をその出納官吏に送付しなければならない。ただし、電信振替の場合においては、国庫金振替送金通知書に代え、電信でその旨を通知しなければならない。⑤　前項の国庫金振替送金通知書は、資金前渡官吏が、その預託先日本銀行所在地にいる出納官吏に国庫金振替書により資金を送付する場合においては、これを省略し適宜の方法をもつて通知することが出来る。,第４項の「第五号書式」を「第四号書式」に変更している点が誤り。正しくは「第五号書式」である。,2026_08_15,m,-,-,-
383,2,中級,会計,出納官吏事務規程,出納官吏事務規程第５１条　資金前渡官吏は、第四十九条第三項の規定により国庫金送金通知書を送付した後、出納官吏又は出納員から当該国庫金送金通知書を添え支払店変更の請求を受けた場合において、相当の事由があると認めたときは、当該国庫金送金通知書に記載した支払店を訂正し、これを出納官吏又は出納員に返付し、直ちにその旨を預託先日本銀行に通知しなければならない。,出納官吏事務規程第５１条　資金前渡官吏は、第四十九条第三項の規定により国庫金送金通知書を送付した後、出納官吏又は出納員から当該国庫金送金通知書を添え支払店変更の請求を受けた場合において、相当の事由があると認めたときは、当該国庫金送金通知書に記載した支払店を訂正し、これを出納官吏又は出納員に返付し、遅滞なくその旨を預託先日本銀行に通知しなければならない。,「直ちに」を「遅滞なく」に変更している点が誤り。正しくは「直ちに」である。,2026_08_15,m,-,-,-
403,2,中級,会計,出納官吏事務規程,出納官吏事務規程第８２条の４　第八十二条の規定は、受取人の亡失した国庫金送金通知書により既に支払を受けた者がある場合について準用する。,出納官吏事務規程第８２条の４　第八十一条の規定は、受取人の亡失した国庫金送金通知書により既に支払を受けた者がある場合について準用する。,「第八十二条」を「第八十一条」に変更している点が誤り。正しくは「第八十二条」である。,2026_08_15,m,-,-,-
424,1,中級,会計,計算証明規則,計算証明規則第３条　証明責任者が交替し前任者の計算証明が済んでいないときは、前任者の計算を後任者が計算証明をしなければならない。ただし、監督官庁等は、特別の事由があるときは、後任者以外の職員を証明責任者として指名して、計算証明をさせることができる。　２　前項の交替が証明期間中で、後任者が計算証明をする場合は、前任者の取り扱った計算を併算して計算証明をすることができる。　３　前二項の場合においては、計算書にその旨並びに前任者の職氏名及び管理期を記載し、又は記録しなければならない。　４　前三項の規定は、証明責任者に交替以外の異動があったときの計算証明について準用する。,計算証明規則第３条　証明責任者が交替し前任者の計算証明が済んでいないときは、前任者の計算を前任者が計算証明をしなければならない。ただし、監督官庁等は、特別の事由があるときは、後任者以外の職員を証明責任者として指名して、計算証明をさせることができる。　２　前項の交替が証明期間中で、後任者が計算証明をする場合は、前任者の取り扱った計算を併算して計算証明をすることができる。　３　前二項の場合においては、計算書にその旨並びに前任者の職氏名及び管理期を記載し、又は記録しなければならない。　４　前三項の規定は、証明責任者に交替以外の異動があったときの計算証明について準用する。,第１項の「後任者」を「前任者」に変更している点が誤り。正しくは「後任者」である。,2026_08_15,m,-,-,-
444,1,初級,会計,陸上自衛隊会計事務規則,陸上自衛隊会計事務規則第１条　陸上自衛隊（自衛隊情報保全隊、自衛隊海上輸送群、自衛隊体育学校、自衛隊中央病院、陸上幕僚長の監督を受ける自衛隊地区病院及び自衛隊地方協力本部を含む。以下同じ。）における次の各号に掲げる事務の取扱いについては、他の法令等によるほか、この達に定めるところによる。(1) 国の収入となるべきものの徴収及び収納に関する事務 (2) 支出負担行為及び支出に関する事務 (3) 前渡資金に係る契約及び支払に関する事務 (4) 保管金に関する事務 (5) 国の収入となるべきものの契約に関する事務 (6) 決算、計算証明及び報告に関する事務 (7) 金銭会計の記録及び保管に関する事務,陸上自衛隊会計事務規則第１条　陸上自衛隊（自衛隊情報保全隊、自衛隊海上輸送群、自衛隊体育学校、自衛隊中央病院、陸上幕僚長の監督を受ける自衛隊地区病院及び自衛隊地方協力本部を含む。以下同じ。）における次の各号に掲げる事務の取扱いについては、他の法令等によらず、この達に定めるところによる。(1) 国の収入となるべきものの徴収及び収納に関する事務 (2) 支出負担行為及び支出に関する事務 (3) 前渡資金に係る契約及び支払に関する事務 (4) 保管金に関する事務 (5) 国の収入となるべきものの契約に関する事務 (6) 決算、計算証明及び報告に関する事務 (7) 金銭会計の記録及び保管に関する事務,「他の法令等によるほか」を「他の法令等によらず」に変更している点が誤り。正しくは「他の法令等によるほか」である。,2026_08_15,m,-,-,-
464,1,初級,会計,陸上自衛隊経費取扱規,陸上自衛隊経費取扱規則第１条　この達は、陸上自衛隊（自衛隊情報保全隊、自衛隊海上輸送群、自衛隊体育学校、自衛隊中央病院、陸上幕僚長の監督を受ける自衛隊地区病院及び自衛隊地方協力本部を含む。）における経費の取扱手続について必要な事項を定め、経費の効率的かつ円滑な運営を図ることを目的とする。２　前項に定める経費の取扱手続については、陸上自衛隊会計事務規則（陸上自衛隊達第16－４号（50．２．24）。以下「会計事務規則」という。）によるほか、この達の定めるところによる。,陸上自衛隊経費取扱規則第１条　この達は、陸上自衛隊（自衛隊情報保全隊、自衛隊海上輸送群、自衛隊体育学校、自衛隊中央病院、陸上幕僚長の監督を受ける自衛隊地区病院及び自衛隊地方協力本部を含む。）における経費の取扱手続について必要な事項を定め、経費の効率的かつ円滑な運営を図ることを目的とする。２　前項に定める経費の取扱手続については、陸上自衛隊会計事務規則（陸上自衛隊達第16－４号（50．２．24）。以下「会計事務規則」という。）によらず、この達の定めるところによる。,第２項の「会計事務規則によるほか」を「会計事務規則によらず」に変更している点が誤り。正しくは「会計事務規則によるほか」である。,2026_08_15,m,-,-,-
484,1,初級,会計,陸上自衛隊経費取扱規,陸上自衛隊経費取扱規則第２７条　使用基準額の示達等は、「予算総括者」ごとによるものとし、「項」、「事項別区分」、「目」及び「目の細分」を付するものとする。,陸上自衛隊経費取扱規則第２７条　使用基準額の示達等は、「事項」ごとによるものとし、「項」、「事項別区分」、「目」及び「目の細分」を付するものとする。,「予算総括者」を「事項」に変更している点が誤り。正しくは「予算総括者」である。,2026_08_15,m,-,-,-
504,1,中級,会計,陸上自衛隊経費取扱規,陸上自衛隊経費取扱規則第３７条　使用制限額の示達等は第２節に定める使用基準額の取扱いに準じて行うものとする。,陸上自衛隊経費取扱規則第３７条　使用制限額の示達等は第１節に定める使用基準額の取扱いに準じて行うものとする。,「第２節」を「第１節」に変更している点が誤り。正しくは「第２節」である。,2026_08_15,m,-,-,-
524,1,初級,会計,国の債権の管理等に関する法律,国の債権の管理等に関する法律第５条第１項　各省各庁の長は、政令で定めるところにより、会計法第四条の二に規定する歳入徴収官、同法第二十四条に規定する支出官その他の職員で当該各省各庁又は他の各省各庁に所属するものに、当該各省各庁の所掌事務に係る債権の管理に関する事務（他の法令の規定により各省各庁の長以外の国の機関が行うべきこととされているものを除く。）を行わせることができる。,国の債権の管理等に関する法律第５条第１項　各省各庁の長は、政令で定めるところにより、会計法第四条の二に規定する歳入徴収官、同法第二十四条に規定する支出官その他の職員で当該各省各庁又は他の各省各庁に所属するものに、当該各省各庁の所掌事務に係る債権の管理に関する事務（他の法令の規定により各省各庁の長以外の国の機関が行うべきこととされているものを除く。）を行わせなければならない。,「行わせることができる」を「行わせなければならない」に変更している点が誤り。正しくは「行わせることができる」である。,2026_08_15,m,-,-,-
544,1,中級,会計,国の債権の管理等に関する法律,国の債権の管理等に関する法律第２０条第１項　歳入徴収官等は、その所掌に属する債権について、国が債権者として占有すべき金銭以外の担保物（債務者に属する権利を代位して行うことにより受領する物を含む。以下この条において同じ。）及びもつぱら債権又は債権の担保に係る事項の立証に供すべき書類その他の物件を、善良な管理者の注意をもつて、整備し、かつ、保存しなければならない。,国の債権の管理等に関する法律第２０条第１項　歳入徴収官等は、その所掌に属する債権について、国が債権者として占有すべき金銭以外の担保物（債務者に属する権利を代位して行うことにより受領する物を含む。以下この条において同じ。）及びもつぱら債権又は債権の担保に係る事項の立証に供すべき書類その他の物件を、自己の財産におけると同一の注意をもつて、整備し、かつ、保存しなければならない。,「善良な管理者の注意」を「自己の財産におけると同一の注意」に変更している点が誤り。正しくは「善良な管理者の注意」である。,2026_08_15,m,-,-,-
564,1,上級,会計,国の債権の管理等に関する法律,国の債権の管理等に関する法律第３２条第１項　歳入徴収官等は、債務者が無資力又はこれに近い状態にあるため履行延期の特約等（和解、調停又は労働審判（労働審判法第二十条の規定による労働審判をいう。第三十八条第三項において同じ。）によつてする履行期限の延長で当該履行延期の特約等に準ずるものを含む。以下この条において同じ。）をした債権について、当初の履行期限（当初の履行期限後に履行延期の特約等をした場合は、最初に履行延期の特約等をした日）から十年を経過した後において、なお債務者が無資力又はこれに近い状態にあり、かつ、弁済することができることとなる見込みがないと認められる場合には、当該債権並びにこれに係る延滞金及び利息を免除することができる。,国の債権の管理等に関する法律第３２条第１項　歳入徴収官等は、債務者が無資力又はこれに近い状態にあるため履行延期の特約等（和解、調停又は労働審判（労働審判法第二十条の規定による労働審判をいう。第三十八条第三項において同じ。）によつてする履行期限の延長で当該履行延期の特約等に準ずるものを含む。以下この条において同じ。）をした債権について、当初の履行期限（当初の履行期限後に履行延期の特約等をした場合は、最初に履行延期の特約等をした日）から五年を経過した後において、なお債務者が無資力又はこれに近い状態にあり、かつ、弁済することができることとなる見込みがないと認められる場合には、当該債権並びにこれに係る延滞金及び利息を免除することができる。,「十年」を「五年」に変更している点が誤り。正しくは「十年」である。,2026_08_15,m,-,-,-
